day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
19,594,Longest Harmonious Subsequence,Easy,['Hash Table'],['Apple'],10,51.3,70
19,720,Longest Word in Dictionary,Easy,"['Hash Table', 'Trie']","['Goldman Sachs', 'Facebook']",10,49.4,80
19,734,Sentence Similarity,Easy,['Hash Table'],['Facebook'],10,42.4,90
19,94,Binary Tree Inorder Traversal,Medium,"['Hash Table', 'Stack', 'Tree']","['Microsoft', 'Facebook', 'Oracle', 'Amazon', 'Google']",20,66.3,110
20,739,Daily Temperatures,Medium,"['Hash Table', 'Stack']","['Facebook', 'Bloomberg', 'Amazon', 'ByteDance', 'Google', 'Adobe', 'Microsoft', 'Paypal', 'Oracle', 'Twitter']",20,64.8,20
20,347,Top K Frequent Elements,Medium,"['Hash Table', 'Heap']","['Facebook', 'Amazon', 'Oracle', 'Apple', 'Bloomberg', 'Google', 'ByteDance', 'Microsoft', 'eBay']",20,62.6,40
20,694,Number of Distinct Islands,Medium,"['Hash Table', 'Depth-first Search', 'Breadth-first Search']","['Amazon', 'Bloomberg', 'Facebook', 'Microsoft']",20,58.1,60
20,981,Time Based Key-Value Store,Medium,"['Hash Table', 'Binary Search']","['Oracle', 'ByteDance', 'Uber', 'Apple', 'Google', 'Microsoft', 'Twitter']",20,54.2,80
20,692,Top K Frequent Words,Medium,"['Hash Table', 'Heap', 'Trie']","['Amazon', 'Bloomberg', 'Google', 'Facebook', 'Apple', 'Oracle', 'Microsoft']",20,53.3,100
20,36,Valid Sudoku,Medium,['Hash Table'],"['Amazon', 'Uber', 'Apple', 'Facebook', 'Goldman Sachs', 'Oracle']",20,50.8,120
21,438,Find All Anagrams in a String,Medium,['Hash Table'],"['Facebook', 'Amazon', 'Bloomberg', 'Microsoft', 'Snapchat', 'Apple']",20,45.2,20
21,844,Backspace String Compare,Easy,"['Two Pointers', 'Stack']","['Facebook', 'Google', 'Amazon', 'Oracle']",10,47.2,30
21,986,Interval List Intersections,Medium,['Two Pointers'],"['Facebook', 'Uber', 'Apple', 'Google', 'Amazon', 'Bloomberg']",20,68.5,50
21,704,Binary Search,Easy,['Binary Search'],"['Microsoft', 'Facebook', 'Amazon']",10,54.3,60
21,230,Kth Smallest Element in a BST,Medium,"['Binary Search', 'Tree']","['Amazon', 'Facebook', 'Adobe', 'Microsoft', 'Oracle']",20,62.9,80
21,240,Search a 2D Matrix II,Medium,"['Binary Search', 'Divide and Conquer']","['Amazon', 'ByteDance', 'Microsoft', 'Bloomberg', 'Facebook']",20,45.3,100
21,300,Longest Increasing Subsequence,Medium,"['Binary Search', 'Dynamic Programming']","['Apple', 'Amazon', 'Facebook', 'Bloomberg', 'Google', 'ByteDance', 'Twitter', 'Microsoft']",20,44.5,120
22,658,Find K Closest Elements,Medium,['Binary Search'],"['Facebook', 'Microsoft', 'Google', 'Paypal']",20,42.2,20
22,401,Binary Watch,Easy,"['Backtracking', 'Bit Manipulation']","['Apple', 'Google']",10,48.5,30
22,1710,Maximum Units on a Truck,Easy,"['Greedy', 'Sort']",['Amazon'],10,69.9,40
22,252,Meeting Rooms,Easy,['Sort'],"['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Adobe']",10,55.5,50
22,973,K Closest Points to Origin,Medium,"['Divide and Conquer', 'Heap', 'Sort']","['Facebook', 'Amazon', 'LinkedIn', 'Apple', 'Uber', 'ByteDance']",20,64.6,70
22,253,Meeting Rooms II,Medium,"['Heap', 'Greedy', 'Sort']","['Amazon', 'Bloomberg', 'Facebook', 'Google', 'Microsoft', 'Oracle', 'Uber', 'Yandex', 'ByteDance', 'Twitter', 'Apple', 'Adobe', 'Expedia', 'eBay']",20,47.1,90
22,46,Permutations,Medium,['Backtracking'],"['Facebook', 'Amazon', 'ByteDance', 'LinkedIn', 'Apple', 'eBay', 'Microsoft', 'Paypal', 'Oracle']",20,67.1,110
23,131,Palindrome Partitioning,Medium,"['Dynamic Programming', 'Backtracking', 'Depth-first Search']","['Amazon', 'Apple', 'Google']",20,52.6,20
23,47,Permutations II,Medium,['Backtracking'],"['Facebook', 'Amazon', 'Microsoft']",20,49.8,40
23,70,Climbing Stairs,Easy,['Dynamic Programming'],"['Expedia', 'Amazon', 'Apple', 'Adobe', 'Goldman Sachs', 'Google']",10,48.8,50
23,139,Word Break,Medium,['Dynamic Programming'],"['Facebook', 'Amazon', 'Bloomberg', 'Microsoft', 'ByteDance', 'eBay', 'Qualtrics', 'Oracle', 'Google']",20,41.9,70
23,304,Range Sum Query 2D - Immutable,Medium,['Dynamic Programming'],"['Facebook', 'Google', 'Microsoft', 'Amazon']",20,41.1,90
23,787,Cheapest Flights Within K Stops,Medium,"['Dynamic Programming', 'Heap', 'Breadth-first Search']","['Facebook', 'Expedia', 'Apple', 'Amazon']",20,39.7,110
24,221,Maximal Square,Medium,['Dynamic Programming'],"['Amazon', 'Google', 'Twitter', 'ByteDance', 'Apple']",20,39.6,20
24,322,Coin Change,Medium,['Dynamic Programming'],"['Amazon', 'Bloomberg', 'Goldman Sachs', 'Apple', 'Microsoft', 'Uber', 'Oracle', 'Facebook']",20,37.7,40
24,215,Kth Largest Element in an Array,Medium,"['Divide and Conquer', 'Heap']","['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Bloomberg', 'ByteDance', 'LinkedIn', 'Adobe', 'Google']",20,58.9,60
24,1047,Remove All Adjacent Duplicates In String,Easy,['Stack'],"['Facebook', 'Amazon', 'Oracle', 'Bloomberg', 'Microsoft']",10,71.2,70
24,503,Next Greater Element II,Medium,['Stack'],"['Amazon', 'Bloomberg', 'Apple', 'Facebook']",20,58.7,90
24,1209,Remove All Adjacent Duplicates in String II,Medium,['Stack'],"['Bloomberg', 'Facebook', 'Amazon', 'Google', 'Microsoft']",20,57.8,110
25,636,Exclusive Time of Functions,Medium,['Stack'],"['Facebook', 'Amazon', 'Microsoft', 'LinkedIn', 'Google']",20,55.0,20
25,394,Decode String,Medium,"['Stack', 'Depth-first Search']","['Bloomberg', 'Google', 'Amazon', 'Oracle', 'ByteDance', 'Apple', 'VMware', 'eBay', 'Cisco']",20,53.0,40
25,103,Binary Tree Zigzag Level Order Traversal,Medium,"['Stack', 'Tree', 'Breadth-first Search']","['Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'Facebook', 'Qualtrics', 'eBay', 'Adobe', 'ByteDance', 'Google', 'Goldman Sachs', 'Oracle']",20,50.4,60
25,150,Evaluate Reverse Polish Notation,Medium,['Stack'],"['Amazon', 'Oracle', 'LinkedIn', 'Google', 'Microsoft']",20,38.2,80
25,1469,Find All The Lonely Nodes,Easy,"['Tree', 'Depth-first Search']",['Microsoft'],10,80.5,90
25,617,Merge Two Binary Trees,Easy,['Tree'],"['Amazon', 'Google', 'Facebook', 'Apple']",10,75.5,100
25,590,N-ary Tree Postorder Traversal,Easy,['Tree'],['Amazon'],10,73.6,110
25,700,Search in a Binary Search Tree,Easy,['Tree'],"['Apple', 'Uber']",10,73.4,120
26,559,Maximum Depth of N-ary Tree,Easy,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Google', 'Amazon']",10,69.6,10
26,226,Invert Binary Tree,Easy,['Tree'],"['Microsoft', 'Amazon', 'Google', 'Facebook', 'eBay', 'Paypal']",10,67.3,20
26,637,Average of Levels in Binary Tree,Easy,['Tree'],['Facebook'],10,66.1,30
26,872,Leaf-Similar Trees,Easy,"['Tree', 'Depth-first Search']",['Amazon'],10,64.5,40
26,108,Convert Sorted Array to Binary Search Tree,Easy,"['Tree', 'Depth-first Search']","['Adobe', 'Google', 'Microsoft', 'Amazon', 'Apple', 'Facebook']",10,60.9,50
26,530,Minimum Absolute Difference in BST,Easy,['Tree'],['Google'],10,55.0,60
26,100,Same Tree,Easy,"['Tree', 'Depth-first Search']","['Amazon', 'Google', 'Microsoft', 'Apple']",10,54.2,70
26,257,Binary Tree Paths,Easy,"['Tree', 'Depth-first Search']","['Facebook', 'Google', 'Apple', 'Bloomberg']",10,54.0,80
26,404,Sum of Left Leaves,Easy,['Tree'],"['Adobe', 'Apple']",10,52.3,90
26,993,Cousins in Binary Tree,Easy,"['Tree', 'Breadth-first Search']","['Bloomberg', 'Amazon', 'Facebook']",10,52.3,100
26,235,Lowest Common Ancestor of a Binary Search Tree,Easy,['Tree'],"['Amazon', 'Facebook', 'LinkedIn', 'Oracle', 'Microsoft']",10,52.1,110
26,543,Diameter of Binary Tree,Easy,['Tree'],"['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Google', 'ByteDance', 'Oracle']",10,49.5,120
27,101,Symmetric Tree,Easy,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Amazon', 'Yandex', 'Apple', 'Uber', 'Google', 'Microsoft']",10,48.4,10
27,501,Find Mode in Binary Search Tree,Easy,['Tree'],['Google'],10,43.7,20
27,671,Second Minimum Node In a Binary Tree,Easy,['Tree'],"['LinkedIn', 'Microsoft', 'Adobe']",10,42.8,30
27,112,Path Sum,Easy,"['Tree', 'Depth-first Search']","['Facebook', 'Amazon', 'Microsoft', 'Apple', 'Oracle', 'ByteDance']",10,42.6,40
