day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
26,150,Evaluate Reverse Polish Notation,Medium,['Stack'],"['Amazon', 'Oracle', 'LinkedIn', 'Google', 'Microsoft']",20,38.2,20
26,933,Number of Recent Calls,Easy,['Queue'],['Yandex'],10,72.4,30
26,617,Merge Two Binary Trees,Easy,['Tree'],"['Amazon', 'Google', 'Facebook', 'Apple']",10,75.5,40
26,559,Maximum Depth of N-ary Tree,Easy,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Google', 'Amazon']",10,69.6,50
26,226,Invert Binary Tree,Easy,['Tree'],"['Microsoft', 'Amazon', 'Google', 'Facebook', 'eBay', 'Paypal']",10,67.3,60
26,108,Convert Sorted Array to Binary Search Tree,Easy,"['Tree', 'Depth-first Search']","['Adobe', 'Google', 'Microsoft', 'Amazon', 'Apple', 'Facebook']",10,60.9,70
26,100,Same Tree,Easy,"['Tree', 'Depth-first Search']","['Amazon', 'Google', 'Microsoft', 'Apple']",10,54.2,80
26,257,Binary Tree Paths,Easy,"['Tree', 'Depth-first Search']","['Facebook', 'Google', 'Apple', 'Bloomberg']",10,54.0,90
26,993,Cousins in Binary Tree,Easy,"['Tree', 'Breadth-first Search']","['Bloomberg', 'Amazon', 'Facebook']",10,52.3,100
26,235,Lowest Common Ancestor of a Binary Search Tree,Easy,['Tree'],"['Amazon', 'Facebook', 'LinkedIn', 'Oracle', 'Microsoft']",10,52.1,110
26,543,Diameter of Binary Tree,Easy,['Tree'],"['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Google', 'ByteDance', 'Oracle']",10,49.5,120
27,101,Symmetric Tree,Easy,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Amazon', 'Yandex', 'Apple', 'Uber', 'Google', 'Microsoft']",10,48.4,10
27,572,Subtree of Another Tree,Easy,['Tree'],"['Amazon', 'Microsoft', 'Facebook']",10,44.6,20
27,112,Path Sum,Easy,"['Tree', 'Depth-first Search']","['Facebook', 'Amazon', 'Microsoft', 'Apple', 'Oracle', 'ByteDance']",10,42.6,30
27,111,Minimum Depth of Binary Tree,Easy,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Amazon', 'Facebook', 'Adobe']",10,39.8,40
27,1650,Lowest Common Ancestor of a Binary Tree III,Medium,['Tree'],"['Facebook', 'Microsoft', 'LinkedIn', 'Amazon']",20,76.7,60
27,701,Insert into a Binary Search Tree,Medium,['Tree'],"['Amazon', 'Microsoft', 'Google']",20,75.4,80
27,1110,Delete Nodes And Return Forest,Medium,"['Tree', 'Depth-first Search']","['Google', 'Amazon', 'Facebook']",20,67.9,100
27,102,Binary Tree Level Order Traversal,Medium,"['Tree', 'Breadth-first Search']","['Bloomberg', 'Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Adobe', 'Paypal', 'Google', 'Uber']",20,57.0,120
28,449,Serialize and Deserialize BST,Medium,['Tree'],"['Facebook', 'Amazon', 'Microsoft', 'ByteDance']",20,54.3,20
28,114,Flatten Binary Tree to Linked List,Medium,"['Tree', 'Depth-first Search']","['Facebook', 'Microsoft', 'Amazon']",20,52.4,40
28,116,Populating Next Right Pointers in Each Node,Medium,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Microsoft', 'Bloomberg', 'Facebook', 'Google', 'Amazon']",20,49.6,60
28,113,Path Sum II,Medium,"['Tree', 'Depth-first Search']","['Facebook', 'Microsoft', 'Amazon']",20,49.5,80
28,236,Lowest Common Ancestor of a Binary Tree,Medium,['Tree'],"['Facebook', 'Microsoft', 'Amazon', 'Oracle', 'LinkedIn', 'Apple', 'Bloomberg', 'Adobe', 'Google', 'Uber']",20,49.3,100
28,545,Boundary of Binary Tree,Medium,['Tree'],"['Microsoft', 'Amazon', 'eBay', 'Facebook', 'Oracle']",20,40.3,120
29,134,Gas Station,Medium,['Greedy'],"['Amazon', 'Microsoft', 'Apple', 'Google', 'Bloomberg']",20,41.5,20
29,997,Find the Town Judge,Easy,['Graph'],['Amazon'],10,49.8,30
29,133,Clone Graph,Medium,"['Depth-first Search', 'Breadth-first Search', 'Graph']","['Facebook', 'Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'Twitter', 'Uber', 'Adobe', 'Qualtrics']",20,39.8,50
29,332,Reconstruct Itinerary,Medium,"['Depth-first Search', 'Graph']","['Uber', 'Amazon', 'Bloomberg', 'Facebook', 'Microsoft', 'Expedia', 'Qualtrics', 'Twitter', 'Google', 'eBay', 'VMware']",20,38.1,70
29,721,Accounts Merge,Medium,"['Depth-first Search', 'Union Find']","['Facebook', 'Google', 'Amazon', 'Microsoft', 'Twitter', 'LinkedIn']",20,52.2,90
29,733,Flood Fill,Easy,['Depth-first Search'],"['Amazon', 'Microsoft', 'Google']",10,56.0,100
29,1197,Minimum Knight Moves,Medium,['Breadth-first Search'],"['Expedia', 'Facebook', 'Amazon', 'Microsoft', 'Google', 'ByteDance', 'Cisco', 'Twitter']",20,37.4,120
30,176,Second Highest Salary,Easy,[],"['Amazon', 'Google', 'Apple']",10,33.5,10
30,1265,Print Immutable Linked List in Reverse,Medium,[],"['Google', 'Facebook']",20,94.3,30
30,1285,Find the Start and End Number of Continuous Ranges,Medium,[],"['Amazon', 'Microsoft']",20,87.8,50
30,1188,Design Bounded Blocking Queue,Medium,[],"['LinkedIn', 'Bloomberg', 'eBay', 'Apple', 'Microsoft']",20,72.9,70
30,419,Battleships in a Board,Medium,[],"['Facebook', 'Microsoft', 'Google']",20,71.2,90
30,384,Shuffle an Array,Medium,[],"['Google', 'Apple', 'Microsoft']",20,54.1,110
